X,Y,Index
9.5,52.5,0
11.5,52.5,1
12.5,53.5,2
14.5,54.5,3
14.5,56.5,4
15.5,57.5,5
17.5,58.5,6
18.5,57.5,7
20.5,58.5,8
21.5,57.5,9
23.5,58.5,10
23.5,60.5,11
22.5,61.5,12
21.5,62.5,13
19.5,61.5,14
18.5,62.5,15
16.5,61.5,16
14.5,60.5,17
13.5,59.5,18
11.5,60.5,19
11.5,62.5,20
10.5,63.5,21
9.5,64.5,22
9.5,66.5,23
11.5,67.5,24
12.5,65.5,25
13.5,65.5,26
15.5,66.5,27
15.5,68.5,28
17.5,69.5,29
18.5,68.5,30
18.5,66.5,31
19.5,65.5,32
21.5,66.5,33
21.5,68.5,34
22.5,70.5,35
24.5,71.5,36
25.5,70.5,37
26.5,69.5,38
27.5,68.5,39
27.5,66.5,40
28.5,65.5,41
30.5,66.5,42
32.5,67.5,43
32.5,69.5,44
34.5,70.5,45
35.5,69.5,46
37.5,70.5,47
38.5,69.5,48
40.5,70.5,49
41.5,69.5,50
43.5,70.5,51
44.5,69.5,52
46.5,70.5,53
45.5,72.5,54
46.5,73.5,55
44.5,73.5,56
42.5,73.5,57
40.5,73.5,58
38.5,73.5,59
37.5,73.5,60
35.5,73.5,61
34.5,73.5,62
32.5,72.5,63
30.5,71.5,64
28.5,72.5,65
27.5,73.5,66
28.5,73.5,67
26.5,73.5,68
27.5,72.5,69
29.5,70.5,70
29.5,72.5,71
28.5,71.5,72
29.5,73.5,73
29.5,71.5,74
31.5,73.5,75
30.5,72.5,76
31.5,72.5,77
30.5,73.5,78
32.5,73.5,79
33.5,73.5,80
36.5,73.5,81
39.5,73.5,82
41.5,73.5,83
45.5,73.5,84
43.5,73.5,85
46.5,72.5,86
46.5,71.5,87
44.5,67.5,88
46.5,66.5,89
47.5,67.5,90
49.5,66.5,91
50.5,67.5,92
52.5,68.5,93
53.5,67.5,94
55.5,68.5,95
56.5,68.5,96
57.5,66.5,97
57.5,64.5,98
57.5,62.5,99
57.5,60.5,100
57.5,58.5,101
56.5,56.5,102
54.5,55.5,103
53.5,56.5,104
53.5,58.5,105
52.5,59.5,106
53.5,61.5,107
53.5,63.5,108
54.5,64.5,109
51.5,64.5,110
50.5,63.5,111
48.5,62.5,112
47.5,63.5,113
45.5,62.5,114
43.5,61.5,115
