X,Y,Index
5.5,5.5,0
5.5,7.5,1
5.5,8.5,2
7.5,9.5,3
8.5,7.5,4
9.5,6.5,5
11.5,7.5,6
11.5,8.5,7
12.5,5.5,8
13.5,5.5,9
14.5,7.5,10
15.5,8.5,11
17.5,8.5,12
18.5,7.5,13
18.5,9.5,14
20.5,9.5,15
22.5,10.5,16
24.5,11.5,17
24.5,13.5,18
26.5,14.5,19
27.5,16.5,20
27.5,17.5,21
28.5,19.5,22
30.5,18.5,23
31.5,20.5,24
33.5,21.5,25
34.5,19.5,26
34.5,18.5,27
35.5,19.5,28
37.5,18.5,29
38.5,20.5,30
40.5,19.5,31
40.5,17.5,32
39.5,16.5,33
39.5,14.5,34
41.5,14.5,35
41.5,12.5,36
43.5,12.5,37
44.5,12.5,38
46.5,13.5,39
47.5,14.5,40
46.5,16.5,41
45.5,18.5,42
43.5,17.5,43
43.5,16.5,44
45.5,20.5,45
45.5,22.5,46
47.5,23.5,47
48.5,22.5,48
48.5,20.5,49
48.5,19.5,50
48.5,18.5,51
47.5,24.5,52
47.5,26.5,53
48.5,27.5,54
47.5,29.5,55
47.5,31.5,56
47.5,32.5,57
47.5,34.5,58
47.5,36.5,59
46.5,37.5,60
46.5,39.5,61
48.5,40.5,62
49.5,39.5,63
51.5,39.5,64
53.5,40.5,65
55.5,39.5,66
57.5,40.5,67
58.5,39.5,68
60.5,40.5,69
61.5,39.5,70
60.5,37.5,71
60.5,36.5,72
59.5,34.5,73
58.5,33.5,74
56.5,34.5,75
55.5,35.5,76
54.5,36.5,77
55.5,33.5,78
54.5,32.5,79
54.5,30.5,80
56.5,30.5,81
57.5,29.5,82
59.5,30.5,83
60.5,31.5,84
61.5,32.5,85
60.5,29.5,86
62.5,30.5,87
63.5,30.5,88
64.5,28.5,89
63.5,27.5,90
66.5,29.5,91
66.5,30.5,92
67.5,27.5,93
69.5,28.5,94
69.5,29.5,95
71.5,30.5,96
72.5,28.5,97
73.5,27.5,98
75.5,28.5,99
75.5,29.5,100
77.5,30.5,101
77.5,32.5,102
79.5,33.5,103
79.5,35.5,104
81.5,36.5,105
82.5,35.5,106
82.5,33.5,107
83.5,32.5,108
85.5,33.5,109
86.5,32.5,110
88.5,33.5,111
87.5,35.5,112
86.5,36.5,113
85.5,38.5,114
83.5,39.5,115
83.5,41.5,116
83.5,43.5,117
85.5,44.5,118
85.5,46.5,119
87.5,47.5,120
88.5,49.5,121
87.5,51.5,122
86.5,52.5,123
84.5,51.5,124
83.5,52.5,125
81.5,51.5,126
80.5,52.5,127
78.5,51.5,128
78.5,49.5,129
76.5,48.5,130
75.5,49.5,131
73.5,48.5,132
72.5,49.5,133
73.5,46.5,134
73.5,44.5,135
74.5,43.5,136
76.5,44.5,137
77.5,43.5,138
79.5,44.5,139
79.5,46.5,140
81.5,47.5,141
82.5,46.5,142
83.5,48.5,143
82.5,47.5,144
81.5,48.5,145
82.5,48.5,146
81.5,46.5,147
80.5,47.5,148
80.5,43.5,149
80.5,41.5,150
79.5,40.5,151
78.5,38.5,152
77.5,37.5,153
75.5,38.5,154
75.5,40.5,155
73.5,40.5,156
71.5,41.5,157
69.5,40.5,158
68.5,42.5,159
67.5,44.5,160
67.5,46.5,161
65.5,46.5,162
64.5,48.5,163
63.5,48.5,164
62.5,49.5,165
60.5,50.5,166
59.5,52.5,167
60.5,53.5,168
62.5,54.5,169
63.5,53.5,170
65.5,53.5,171
65.5,55.5,172
64.5,57.5,173
65.5,59.5,174
65.5,61.5,175
65.5,63.5,176
67.5,64.5,177
68.5,63.5,178
69.5,62.5,179
71.5,63.5,180
71.5,65.5,181
73.5,66.5,182
73.5,68.5,183
74.5,70.5,184
72.5,71.5,185
70.5,72.5,186
69.5,73.5,187
67.5,72.5,188
66.5,73.5,189
64.5,72.5,190
63.5,74.5,191
62.5,76.5,192
60.5,77.5,193
60.5,78.5,194
59.5,75.5,195
60.5,73.5,196
61.5,72.5,197
60.5,71.5,198
59.5,70.5,199
57.5,69.5,200
56.5,67.5,201
55.5,66.5,202
53.5,67.5,203
53.5,69.5,204
52.5,70.5,205
52.5,72.5,206
54.5,72.5,207
55.5,72.5,208
57.5,73.5,209
56.5,75.5,210
56.5,74.5,211
57.5,72.5,212
55.5,73.5,213
56.5,72.5,214
55.5,71.5,215
54.5,74.5,216
56.5,73.5,217
55.5,74.5,218
53.5,73.5,219
54.5,73.5,220
50.5,72.5,221
52.5,73.5,222
51.5,71.5,223
49.5,71.5,224
48.5,69.5,225
46.5,70.5,226
44.5,69.5,227
43.5,70.5,228
41.5,69.5,229
40.5,70.5,230
38.5,69.5,231
37.5,70.5,232
35.5,69.5,233
34.5,70.5,234
33.5,71.5,235
34.5,73.5,236
34.5,74.5,237
36.5,75.5,238
37.5,74.5,239
39.5,73.5,240
41.5,74.5,241
42.5,73.5,242
44.5,74.5,243
45.5,73.5,244
44.5,76.5,245
44.5,77.5,246
44.5,79.5,247
44.5,80.5,248
45.5,82.5,249
46.5,83.5,250
48.5,84.5,251
48.5,86.5,252
50.5,87.5,253
50.5,89.5,254
52.5,90.5,255
53.5,91.5,256
