X,Y,Index
142.5,5.5,0
143.5,7.5,1
141.5,8.5,2
141.5,10.5,3
143.5,11.5,4
144.5,10.5,5
146.5,11.5,6
146.5,13.5,7
148.5,14.5,8
150.5,15.5,9
150.5,17.5,10
150.5,19.5,11
152.5,20.5,12
153.5,19.5,13
153.5,17.5,14
155.5,16.5,15
156.5,17.5,16
156.5,19.5,17
157.5,21.5,18
157.5,23.5,19
158.5,25.5,20
157.5,27.5,21
159.5,28.5,22
160.5,27.5,23
162.5,28.5,24
163.5,27.5,25
165.5,28.5,26
167.5,29.5,27
167.5,31.5,28
169.5,32.5,29
169.5,34.5,30
171.5,35.5,31
171.5,37.5,32
171.5,39.5,33
173.5,40.5,34
174.5,39.5,35
176.5,40.5,36
177.5,39.5,37
179.5,38.5,38
180.5,39.5,39
182.5,40.5,40
183.5,39.5,41
185.5,40.5,42
186.5,39.5,43
188.5,40.5,44
189.5,39.5,45
191.5,40.5,46
192.5,42.5,47
190.5,43.5,48
189.5,44.5,49
189.5,46.5,50
189.5,48.5,51
188.5,49.5,52
186.5,48.5,53
185.5,49.5,54
183.5,48.5,55
182.5,49.5,56
180.5,48.5,57
179.5,49.5,58
177.5,48.5,59
176.5,49.5,60
174.5,48.5,61
172.5,47.5,62
172.5,45.5,63
174.5,44.5,64
175.5,45.5,65
177.5,44.5,66
178.5,43.5,67
180.5,44.5,68
181.5,43.5,69
183.5,44.5,70
184.5,43.5,71
186.5,44.5,72
186.5,45.5,73
186.5,43.5,74
185.5,45.5,75
185.5,43.5,76
184.5,44.5,77
183.5,45.5,78
185.5,44.5,79
184.5,45.5,80
183.5,43.5,81
182.5,45.5,82
181.5,44.5,83
182.5,43.5,84
180.5,45.5,85
182.5,44.5,86
181.5,45.5,87
180.5,42.5,88
180.5,43.5,89
179.5,42.5,90
179.5,45.5,91
178.5,44.5,92
179.5,43.5,93
178.5,42.5,94
177.5,43.5,95
179.5,44.5,96
178.5,45.5,97
177.5,45.5,98
175.5,43.5,99
176.5,45.5,100
176.5,43.5,101
175.5,44.5,102
176.5,44.5,103
174.5,43.5,104
171.5,44.5,105
169.5,45.5,106
168.5,46.5,107
166.5,47.5,108
167.5,49.5,109
165.5,50.5,110
164.5,49.5,111
163.5,47.5,112
163.5,45.5,113
162.5,44.5,114
160.5,45.5,115
160.5,47.5,116
161.5,49.5,117
160.5,51.5,118
162.5,52.5,119
164.5,53.5,120
164.5,55.5,121
166.5,56.5,122
166.5,58.5,123
168.5,59.5,124
169.5,60.5,125
170.5,62.5,126
170.5,64.5,127
172.5,64.5,128
173.5,64.5,129
173.5,65.5,130
175.5,63.5,131
176.5,62.5,132
178.5,63.5,133
179.5,64.5,134
181.5,63.5,135
182.5,64.5,136
184.5,63.5,137
185.5,62.5,138
187.5,63.5,139
188.5,64.5,140
190.5,63.5,141
191.5,62.5,142
192.5,60.5,143
194.5,60.5,144
194.5,58.5,145
194.5,56.5,146
195.5,55.5,147
195.5,53.5,148
195.5,52.5,149
194.5,50.5,150
194.5,49.5,151
195.5,47.5,152
194.5,45.5,153
194.5,44.5,154
195.5,42.5,155
195.5,41.5,156
195.5,39.5,157
194.5,38.5,158
195.5,36.5,159
194.5,34.5,160
194.5,33.5,161
195.5,31.5,162
195.5,30.5,163
194.5,28.5,164
195.5,26.5,165
195.5,24.5,166
194.5,23.5,167
192.5,22.5,168
191.5,21.5,169
190.5,19.5,170
189.5,19.5,171
188.5,18.5,172
188.5,17.5,173
186.5,18.5,174
185.5,18.5,175
183.5,18.5,176
182.5,20.5,177
181.5,21.5,178
179.5,22.5,179
178.5,23.5,180
179.5,25.5,181
180.5,26.5,182
