X,Y,Index
123.5,8.5,0
124.5,8.5,1
126.5,9.5,2
127.5,8.5,3
129.5,8.5,4
130.5,8.5,5
131.5,10.5,6
131.5,11.5,7
131.5,13.5,8
131.5,15.5,9
133.5,16.5,10
134.5,15.5,11
136.5,16.5,12
137.5,15.5,13
139.5,16.5,14
141.5,17.5,15
141.5,19.5,16
143.5,20.5,17
144.5,19.5,18
144.5,17.5,19
146.5,16.5,20
147.5,17.5,21
147.5,19.5,22
148.5,21.5,23
148.5,23.5,24
146.5,24.5,25
145.5,25.5,26
145.5,27.5,27
147.5,28.5,28
147.5,30.5,29
147.5,32.5,30
149.5,33.5,31
150.5,31.5,32
150.5,30.5,33
150.5,28.5,34
150.5,26.5,35
150.5,25.5,36
151.5,23.5,37
152.5,21.5,38
151.5,20.5,39
150.5,19.5,40
150.5,17.5,41
150.5,15.5,42
148.5,14.5,43
146.5,13.5,44
146.5,11.5,45
147.5,10.5,46
149.5,11.5,47
151.5,12.5,48
152.5,11.5,49
153.5,10.5,50
155.5,9.5,51
157.5,10.5,52
159.5,11.5,53
159.5,13.5,54
157.5,14.5,55
158.5,16.5,56
159.5,17.5,57
160.5,18.5,58
162.5,17.5,59
164.5,18.5,60
165.5,18.5,61
165.5,17.5,62
165.5,16.5,63
164.5,20.5,64
164.5,22.5,65
163.5,21.5,66
164.5,21.5,67
163.5,20.5,68
164.5,19.5,69
165.5,19.5,70
162.5,15.5,71
163.5,14.5,72
162.5,13.5,73
162.5,14.5,74
164.5,15.5,75
164.5,16.5,76
163.5,19.5,77
163.5,17.5,78
162.5,16.5,79
163.5,15.5,80
164.5,17.5,81
163.5,18.5,82
161.5,15.5,83
163.5,16.5,84
160.5,19.5,85
161.5,19.5,86
162.5,19.5,87
162.5,18.5,88
161.5,18.5,89
161.5,17.5,90
161.5,16.5,91
156.5,17.5,92
154.5,17.5,93
153.5,15.5,94
154.5,14.5,95
155.5,12.5,96
154.5,13.5,97
153.5,14.5,98
153.5,17.5,99
153.5,19.5,100
153.5,18.5,101
153.5,16.5,102
154.5,15.5,103
154.5,16.5,104
155.5,17.5,105
155.5,16.5,106
158.5,18.5,107
160.5,17.5,108
157.5,17.5,109
159.5,18.5,110
159.5,16.5,111
158.5,17.5,112
157.5,18.5,113
160.5,16.5,114
156.5,15.5,115
156.5,13.5,116
155.5,14.5,117
157.5,15.5,118
156.5,16.5,119
156.5,14.5,120
155.5,15.5,121
157.5,16.5,122
155.5,13.5,123
160.5,14.5,124
159.5,15.5,125
161.5,14.5,126
