X,Y,Index
7.5,2.5,0
8.5,2.5,1
10.5,3.5,2
11.5,2.5,3
13.5,3.5,4
12.5,5.5,5
11.5,7.5,6
11.5,8.5,7
9.5,9.5,8
8.5,7.5,9
6.5,6.5,10
5.5,7.5,11
4.5,9.5,12
5.5,11.5,13
6.5,13.5,14
6.5,15.5,15
8.5,16.5,16
8.5,18.5,17
9.5,19.5,18
11.5,18.5,19
11.5,16.5,20
12.5,15.5,21
14.5,16.5,22
15.5,15.5,23
17.5,16.5,24
18.5,15.5,25
18.5,13.5,26
18.5,11.5,27
19.5,10.5,28
21.5,11.5,29
19.5,8.5,30
18.5,7.5,31
16.5,8.5,32
15.5,9.5,33
15.5,11.5,34
13.5,10.5,35
14.5,12.5,36
12.5,11.5,37
12.5,12.5,38
11.5,12.5,39
9.5,13.5,40
9.5,12.5,41
10.5,13.5,42
10.5,12.5,43
13.5,11.5,44
15.5,12.5,45
13.5,12.5,46
14.5,11.5,47
14.5,10.5,48
15.5,7.5,49
14.5,8.5,50
16.5,9.5,51
15.5,10.5,52
15.5,8.5,53
14.5,9.5,54
15.5,6.5,55
17.5,5.5,56
17.5,4.5,57
18.5,2.5,58
19.5,2.5,59
20.5,4.5,60
20.5,5.5,61
22.5,6.5,62
22.5,8.5,63
24.5,9.5,64
24.5,11.5,65
24.5,13.5,66
26.5,14.5,67
27.5,16.5,68
25.5,17.5,69
23.5,16.5,70
22.5,17.5,71
22.5,19.5,72
24.5,20.5,73
24.5,22.5,74
24.5,24.5,75
22.5,24.5,76
20.5,25.5,77
18.5,26.5,78
17.5,25.5,79
15.5,26.5,80
14.5,25.5,81
12.5,26.5,82
11.5,25.5,83
9.5,26.5,84
8.5,25.5,85
6.5,26.5,86
5.5,25.5,87
5.5,27.5,88
4.5,28.5,89
5.5,30.5,90
4.5,32.5,91
4.5,33.5,92
5.5,35.5,93
5.5,36.5,94
7.5,37.5,95
5.5,37.5,96
6.5,36.5,97
6.5,38.5,98
6.5,35.5,99
8.5,34.5,100
8.5,33.5,101
9.5,32.5,102
9.5,30.5,103
8.5,29.5,104
9.5,29.5,105
11.5,29.5,106
12.5,29.5,107
12.5,31.5,108
12.5,32.5,109
14.5,33.5,110
15.5,35.5,111
17.5,36.5,112
17.5,38.5,113
15.5,38.5,114
15.5,39.5,115
15.5,41.5,116
16.5,43.5,117
15.5,45.5,118
15.5,46.5,119
17.5,47.5,120
17.5,49.5,121
15.5,49.5,122
14.5,49.5,123
12.5,48.5,124
11.5,49.5,125
9.5,48.5,126
8.5,49.5,127
6.5,48.5,128
5.5,49.5,129
3.5,48.5,130
5.5,51.5,131
7.5,52.5,132
8.5,53.5,133
10.5,52.5,134
11.5,51.5,135
12.5,53.5,136
14.5,54.5,137
14.5,56.5,138
15.5,57.5,139
17.5,58.5,140
17.5,59.5,141
18.5,57.5,142
20.5,58.5,143
21.5,57.5,144
23.5,58.5,145
23.5,60.5,146
22.5,61.5,147
21.5,62.5,148
19.5,61.5,149
18.5,61.5,150
18.5,60.5,151
21.5,64.5,152
21.5,66.5,153
23.5,66.5,154
22.5,67.5,155
22.5,68.5,156
23.5,67.5,157
22.5,65.5,158
24.5,65.5,159
24.5,63.5,160
25.5,62.5,161
25.5,63.5,162
24.5,64.5,163
22.5,66.5,164
23.5,65.5,165
23.5,64.5,166
21.5,65.5,167
20.5,63.5,168
22.5,64.5,169
19.5,62.5,170
20.5,64.5,171
23.5,63.5,172
20.5,61.5,173
21.5,63.5,174
22.5,63.5,175
20.5,62.5,176
25.5,61.5,177
26.5,60.5,178
26.5,58.5,179
27.5,57.5,180
28.5,55.5,181
27.5,54.5,182
28.5,52.5,183
29.5,52.5,184
31.5,52.5,185
30.5,54.5,186
30.5,53.5,187
30.5,52.5,188
26.5,52.5,189
25.5,52.5,190
24.5,54.5,191
24.5,55.5,192
23.5,54.5,193
22.5,52.5,194
21.5,52.5,195
19.5,53.5,196
17.5,54.5,197
16.5,52.5,198
18.5,53.5,199
18.5,52.5,200
18.5,54.5,201
17.5,53.5,202
19.5,54.5,203
17.5,52.5,204
19.5,52.5,205
20.5,54.5,206
20.5,53.5,207
20.5,52.5,208
21.5,53.5,209
21.5,54.5,210
22.5,53.5,211
23.5,55.5,212
22.5,54.5,213
23.5,53.5,214
23.5,52.5,215
24.5,53.5,216
24.5,52.5,217
25.5,55.5,218
25.5,53.5,219
27.5,52.5,220
26.5,53.5,221
25.5,54.5,222
28.5,53.5,223
29.5,55.5,224
29.5,53.5,225
28.5,54.5,226
29.5,56.5,227
29.5,54.5,228
26.5,54.5,229
27.5,53.5,230
28.5,57.5,231
26.5,55.5,232
28.5,56.5,233
27.5,55.5,234
27.5,59.5,235
25.5,56.5,236
26.5,57.5,237
26.5,56.5,238
27.5,58.5,239
27.5,56.5,240
26.5,61.5,241
26.5,59.5,242
24.5,62.5,243
23.5,61.5,244
22.5,62.5,245
24.5,61.5,246
25.5,60.5,247
21.5,61.5,248
23.5,62.5,249
25.5,59.5,250
25.5,57.5,251
24.5,60.5,252
24.5,58.5,253
23.5,59.5,254
24.5,56.5,255
24.5,59.5,256
22.5,60.5,257
25.5,58.5,258
24.5,57.5,259
21.5,55.5,260
23.5,56.5,261
22.5,55.5,262
23.5,57.5,263
22.5,56.5,264
20.5,55.5,265
22.5,59.5,266
20.5,60.5,267
22.5,57.5,268
21.5,60.5,269
20.5,59.5,270
21.5,58.5,271
21.5,56.5,272
19.5,60.5,273
22.5,58.5,274
21.5,59.5,275
18.5,55.5,276
20.5,56.5,277
19.5,55.5,278
20.5,57.5,279
17.5,55.5,280
19.5,56.5,281
18.5,56.5,282
19.5,58.5,283
19.5,57.5,284
18.5,59.5,285
19.5,59.5,286
18.5,58.5,287
16.5,59.5,288
15.5,60.5,289
15.5,62.5,290
15.5,64.5,291
15.5,66.5,292
15.5,68.5,293
17.5,69.5,294
18.5,68.5,295
18.5,66.5,296
18.5,65.5,297
20.5,69.5,298
19.5,71.5,299
19.5,72.5,300
19.5,74.5,301
19.5,76.5,302
21.5,77.5,303
21.5,79.5,304
19.5,79.5,305
18.5,79.5,306
16.5,79.5,307
15.5,77.5,308
16.5,76.5,309
16.5,74.5,310
15.5,72.5,311
14.5,71.5,312
13.5,70.5,313
12.5,71.5,314
12.5,73.5,315
11.5,73.5,316
12.5,74.5,317
12.5,76.5,318
10.5,76.5,319
10.5,78.5,320
12.5,79.5,321
12.5,81.5,322
11.5,82.5,323
11.5,84.5,324
10.5,85.5,325
8.5,86.5,326
9.5,88.5,327
9.5,90.5,328
8.5,91.5,329
6.5,90.5,330
6.5,88.5,331
4.5,87.5,332
4.5,86.5,333
5.5,87.5,334
5.5,85.5,335
5.5,84.5,336
6.5,84.5,337
8.5,83.5,338
8.5,82.5,339
8.5,80.5,340
7.5,80.5,341
7.5,81.5,342
8.5,81.5,343
6.5,83.5,344
6.5,82.5,345
7.5,83.5,346
7.5,82.5,347
4.5,88.5,348
3.5,90.5,349
2.5,91.5,350
4.5,92.5,351
5.5,94.5,352
5.5,95.5,353
7.5,96.5,354
6.5,96.5,355
6.5,98.5,356
6.5,97.5,357
6.5,95.5,358
6.5,94.5,359
8.5,94.5,360
7.5,95.5,361
7.5,94.5,362
5.5,96.5,363
6.5,93.5,364
4.5,93.5,365
5.5,93.5,366
4.5,94.5,367
2.5,90.5,368
3.5,91.5,369
3.5,92.5,370
3.5,89.5,371
3.5,88.5,372
5.5,86.5,373
5.5,91.5,374
5.5,89.5,375
4.5,90.5,376
5.5,92.5,377
6.5,89.5,378
5.5,90.5,379
5.5,88.5,380
4.5,91.5,381
4.5,89.5,382
8.5,93.5,383
7.5,92.5,384
9.5,93.5,385
6.5,91.5,386
7.5,93.5,387
6.5,92.5,388
8.5,92.5,389
9.5,91.5,390
10.5,91.5,391
7.5,91.5,392
9.5,92.5,393
7.5,90.5,394
11.5,89.5,395
12.5,89.5,396
14.5,88.5,397
15.5,88.5,398
17.5,89.5,399
18.5,90.5,400
19.5,92.5,401
19.5,94.5,402
19.5,96.5,403
19.5,98.5,404
21.5,99.5,405
21.5,101.5,406
23.5,102.5,407
24.5,104.5,408
25.5,105.5,409
25.5,107.5,410
24.5,108.5,411
22.5,107.5,412
21.5,108.5,413
19.5,107.5,414
18.5,108.5,415
16.5,107.5,416
15.5,108.5,417
15.5,110.5,418
15.5,112.5,419
14.5,113.5,420
15.5,114.5,421
15.5,115.5,422
16.5,115.5,423
18.5,114.5,424
18.5,112.5,425
20.5,111.5,426
18.5,111.5,427
20.5,112.5,428
19.5,111.5,429
19.5,114.5,430
19.5,112.5,431
18.5,113.5,432
19.5,113.5,433
18.5,116.5,434
18.5,115.5,435
16.5,116.5,436
17.5,116.5,437
17.5,117.5,438
17.5,114.5,439
17.5,115.5,440
16.5,114.5,441
15.5,113.5,442
17.5,113.5,443
17.5,112.5,444
16.5,113.5,445
17.5,111.5,446
14.5,111.5,447
16.5,112.5,448
13.5,110.5,449
15.5,111.5,450
14.5,112.5,451
16.5,111.5,452
13.5,111.5,453
13.5,109.5,454
14.5,109.5,455
16.5,110.5,456
14.5,110.5,457
16.5,105.5,458
16.5,103.5,459
18.5,103.5,460
20.5,104.5,461
21.5,104.5,462
18.5,101.5,463
17.5,102.5,464
19.5,103.5,465
18.5,102.5,466
19.5,104.5,467
18.5,104.5,468
16.5,104.5,469
17.5,103.5,470
17.5,104.5,471
15.5,106.5,472
14.5,107.5,473
17.5,105.5,474
15.5,109.5,475
16.5,106.5,476
14.5,108.5,477
15.5,107.5,478
15.5,105.5,479
18.5,110.5,480
17.5,109.5,481
16.5,108.5,482
19.5,110.5,483
17.5,110.5,484
16.5,109.5,485
19.5,105.5,486
18.5,106.5,487
17.5,107.5,488
20.5,105.5,489
18.5,109.5,490
19.5,106.5,491
17.5,108.5,492
18.5,107.5,493
18.5,105.5,494
17.5,106.5,495
21.5,110.5,496
20.5,109.5,497
19.5,108.5,498
20.5,110.5,499
19.5,109.5,500
21.5,106.5,501
20.5,107.5,502
21.5,109.5,503
22.5,106.5,504
21.5,107.5,505
21.5,105.5,506
20.5,108.5,507
20.5,106.5,508
22.5,109.5,509
22.5,108.5,510
23.5,109.5,511
27.5,108.5,512
28.5,107.5,513
30.5,108.5,514
31.5,107.5,515
33.5,108.5,516
33.5,109.5,517
34.5,107.5,518
34.5,105.5,519
36.5,104.5,520
37.5,105.5,521
37.5,107.5,522
39.5,108.5,523
41.5,109.5,524
40.5,111.5,525
38.5,111.5,526
36.5,110.5,527
35.5,111.5,528
34.5,110.5,529
35.5,112.5,530
35.5,110.5,531
37.5,112.5,532
37.5,114.5,533
37.5,116.5,534
39.5,116.5,535
40.5,116.5,536
42.5,117.5,537
43.5,118.5,538
45.5,119.5,539
47.5,120.5,540
48.5,119.5,541
50.5,120.5,542
51.5,119.5,543
53.5,120.5,544
54.5,119.5,545
56.5,120.5,546
57.5,119.5,547
59.5,120.5,548
59.5,121.5,549
61.5,122.5,550
61.5,123.5,551
62.5,125.5,552
62.5,127.5,553
63.5,128.5,554
64.5,129.5,555
65.5,128.5,556
65.5,126.5,557
65.5,125.5,558
66.5,123.5,559
67.5,122.5,560
66.5,120.5,561
65.5,120.5,562
63.5,119.5,563
63.5,118.5,564
63.5,116.5,565
65.5,116.5,566
66.5,117.5,567
68.5,118.5,568
69.5,119.5,569
69.5,121.5,570
69.5,120.5,571
70.5,119.5,572
70.5,117.5,573
69.5,115.5,574
70.5,114.5,575
72.5,115.5,576
70.5,112.5,577
69.5,111.5,578
67.5,112.5,579
66.5,113.5,580
66.5,111.5,581
66.5,109.5,582
66.5,107.5,583
66.5,106.5,584
66.5,104.5,585
64.5,103.5,586
63.5,103.5,587
63.5,102.5,588
63.5,100.5,589
64.5,99.5,590
63.5,97.5,591
63.5,95.5,592
62.5,94.5,593
60.5,95.5,594
60.5,97.5,595
60.5,98.5,596
60.5,99.5,597
59.5,96.5,598
59.5,94.5,599
59.5,92.5,600
58.5,90.5,601
56.5,89.5,602
58.5,88.5,603
59.5,87.5,604
60.5,86.5,605
62.5,87.5,606
63.5,86.5,607
65.5,87.5,608
67.5,88.5,609
69.5,89.5,610
70.5,89.5,611
72.5,89.5,612
72.5,87.5,613
71.5,85.5,614
72.5,84.5,615
72.5,82.5,616
73.5,81.5,617
75.5,82.5,618
77.5,83.5,619
78.5,82.5,620
79.5,81.5,621
79.5,79.5,622
81.5,78.5,623
80.5,76.5,624
79.5,75.5,625
77.5,76.5,626
76.5,75.5,627
74.5,74.5,628
72.5,73.5,629
72.5,71.5,630
70.5,71.5,631
69.5,73.5,632
67.5,72.5,633
66.5,74.5,634
67.5,75.5,635
68.5,76.5,636
69.5,78.5,637
67.5,79.5,638
66.5,79.5,639
64.5,79.5,640
64.5,77.5,641
62.5,76.5,642
60.5,77.5,643
61.5,79.5,644
59.5,76.5,645
58.5,75.5,646
57.5,73.5,647
58.5,72.5,648
60.5,72.5,649
61.5,72.5,650
63.5,73.5,651
64.5,72.5,652
64.5,71.5,653
63.5,71.5,654
63.5,72.5,655
61.5,73.5,656
62.5,72.5,657
61.5,71.5,658
62.5,73.5,659
62.5,71.5,660
59.5,71.5,661
60.5,73.5,662
60.5,71.5,663
57.5,71.5,664
55.5,71.5,665
54.5,72.5,666
53.5,74.5,667
51.5,73.5,668
49.5,72.5,669
49.5,70.5,670
47.5,69.5,671
46.5,70.5,672
46.5,72.5,673
46.5,73.5,674
45.5,71.5,675
47.5,67.5,676
46.5,66.5,677
44.5,67.5,678
44.5,69.5,679
42.5,69.5,680
40.5,68.5,681
40.5,67.5,682
41.5,65.5,683
42.5,64.5,684
44.5,63.5,685
46.5,62.5,686
47.5,62.5,687
49.5,63.5,688
49.5,65.5,689
50.5,67.5,690
51.5,68.5,691
52.5,70.5,692
53.5,70.5,693
52.5,69.5,694
52.5,68.5,695
51.5,67.5,696
51.5,66.5,697
50.5,66.5,698
50.5,65.5,699
50.5,64.5,700
49.5,64.5,701
48.5,64.5,702
49.5,62.5,703
48.5,62.5,704
47.5,63.5,705
48.5,63.5,706
46.5,63.5,707
44.5,62.5,708
45.5,62.5,709
45.5,63.5,710
42.5,62.5,711
40.5,62.5,712
39.5,62.5,713
39.5,63.5,714
38.5,65.5,715
37.5,67.5,716
37.5,69.5,717
35.5,69.5,718
35.5,68.5,719
36.5,69.5,720
36.5,68.5,721
