X,Y,Index
3.5,3.5,0
5.5,3.5,1
7.5,4.5,2
9.5,5.5,3
8.5,7.5,4
10.5,8.5,5
11.5,7.5,6
13.5,8.5,7
14.5,7.5,8
16.5,8.5,9
18.5,9.5,10
18.5,11.5,11
18.5,13.5,12
18.5,15.5,13
17.5,16.5,14
15.5,15.5,15
14.5,16.5,16
12.5,15.5,17
11.5,16.5,18
9.5,15.5,19
8.5,16.5,20
8.5,18.5,21
10.5,19.5,22
11.5,21.5,23
12.5,22.5,24
12.5,24.5,25
12.5,26.5,26
13.5,28.5,27
11.5,29.5,28
10.5,30.5,29
8.5,29.5,30
7.5,30.5,31
5.5,29.5,32
4.5,30.5,33
3.5,31.5,34
4.5,33.5,35
5.5,35.5,36
6.5,35.5,37
8.5,36.5,38
8.5,38.5,39
8.5,40.5,40
10.5,41.5,41
11.5,40.5,42
11.5,38.5,43
13.5,37.5,44
14.5,38.5,45
15.5,39.5,46
17.5,38.5,47
17.5,36.5,48
15.5,35.5,49
15.5,33.5,50
16.5,32.5,51
18.5,33.5,52
19.5,32.5,53
21.5,33.5,54
22.5,32.5,55
21.5,30.5,56
22.5,28.5,57
23.5,27.5,58
25.5,28.5,59
27.5,28.5,60
28.5,27.5,61
27.5,25.5,62
26.5,25.5,63
24.5,24.5,64
24.5,22.5,65
24.5,20.5,66
22.5,19.5,67
22.5,17.5,68
23.5,16.5,69
25.5,17.5,70
27.5,18.5,71
28.5,19.5,72
29.5,21.5,73
29.5,23.5,74
30.5,25.5,75
31.5,26.5,76
31.5,28.5,77
31.5,30.5,78
33.5,30.5,79
34.5,30.5,80
36.5,31.5,81
37.5,30.5,82
37.5,28.5,83
38.5,27.5,84
40.5,28.5,85
40.5,30.5,86
40.5,29.5,87
40.5,26.5,88
41.5,27.5,89
40.5,24.5,90
41.5,23.5,91
40.5,21.5,92
40.5,19.5,93
40.5,17.5,94
39.5,16.5,95
37.5,17.5,96
37.5,19.5,97
36.5,20.5,98
34.5,19.5,99
34.5,17.5,100
34.5,15.5,101
35.5,14.5,102
35.5,12.5,103
33.5,11.5,104
31.5,10.5,105
30.5,9.5,106
28.5,10.5,107
27.5,11.5,108
25.5,10.5,109
24.5,11.5,110
24.5,13.5,111
26.5,14.5,112
28.5,15.5,113
29.5,14.5,114
31.5,15.5,115
31.5,17.5,116
31.5,19.5,117
32.5,21.5,118
32.5,23.5,119
34.5,24.5,120
35.5,23.5,121
37.5,24.5,122
37.5,23.5,123
34.5,26.5,124
34.5,27.5,125
36.5,25.5,126
36.5,23.5,127
35.5,26.5,128
34.5,25.5,129
35.5,24.5,130
36.5,24.5,131
35.5,25.5,132
34.5,23.5,133
33.5,24.5,134
33.5,22.5,135
34.5,22.5,136
33.5,23.5,137
32.5,22.5,138
31.5,18.5,139
31.5,16.5,140
30.5,17.5,141
31.5,13.5,142
31.5,14.5,143
30.5,13.5,144
30.5,16.5,145
30.5,14.5,146
29.5,15.5,147
29.5,13.5,148
29.5,16.5,149
30.5,15.5,150
27.5,14.5,151
28.5,14.5,152
27.5,15.5,153
22.5,13.5,154
21.5,13.5,155
21.5,11.5,156
21.5,9.5,157
22.5,8.5,158
22.5,6.5,159
20.5,5.5,160
20.5,3.5,161
18.5,3.5,162
17.5,4.5,163
15.5,3.5,164
14.5,4.5,165
12.5,3.5,166
11.5,3.5,167
12.5,4.5,168
13.5,3.5,169
13.5,4.5,170
14.5,3.5,171
16.5,5.5,172
15.5,4.5,173
16.5,3.5,174
17.5,5.5,175
17.5,3.5,176
16.5,4.5,177
22.5,3.5,178
24.5,4.5,179
25.5,5.5,180
27.5,5.5,181
29.5,5.5,182
29.5,3.5,183
31.5,3.5,184
33.5,4.5,185
34.5,3.5,186
36.5,4.5,187
37.5,3.5,188
39.5,3.5,189
41.5,3.5,190
41.5,5.5,191
43.5,6.5,192
44.5,5.5,193
46.5,4.5,194
47.5,5.5,195
48.5,7.5,196
49.5,9.5,197
50.5,10.5,198
50.5,12.5,199
50.5,14.5,200
51.5,16.5,201
49.5,17.5,202
48.5,18.5,203
48.5,20.5,204
50.5,20.5,205
51.5,20.5,206
52.5,21.5,207
54.5,20.5,208
56.5,21.5,209
57.5,22.5,210
59.5,23.5,211
60.5,24.5,212
